Country,SH.MED.BEDS.ZS,SH.MED.PHYS.ZS,SH.MED.NUMW.P3,SH.UHC.SRVS.CV.XD,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SH.XPD.OOPC.PC.CD,SH.XPD.OOPC.PP.CD,SH.STA.DIAB.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SH.DYN.NCOM.ZS,SH.DYN.NCOM.FE.ZS,SH.DYN.NCOM.MA.ZS,SH.DTH.COMM.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.BASW.ZS,SH.STA.BASS.ZS,SP.POP.80UP.FE.5Y,SP.POP.80UP.MA.5Y,SP.POP.65UP.FE.ZS,SP.POP.65UP.MA.ZS,SP.POP.65UP.TO.ZS,SP.POP.0014.FE.ZS,SP.POP.0014.MA.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.FE.ZS,SP.POP.1564.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.TOTL
ISL,3.2,3.9701,15.6806,84.0,8.32629129290581,6086.3115234375,4721.42626953125,16.480378806591,1003.04724121094,778.109008789063,5.8,84.3,82.6609756097561,81.1,38.181,65.669,9.1,8.2,9.9,4.4,5.8,89.8,99.9999994306847,98.7821682352681,4.35363279712858,3.11675247056039,15.566234602497,14.0298242499556,14.7950925565689,19.4595819272367,20.2035623409669,19.8323201064408,64.9741834702663,65.7666134090775,65.3725873369903,352721.0
ISR,3.1,3.2176,5.2044,82.0,7.40746408700943,3144.62622070313,3014.64721679688,22.2508862614632,699.707214355469,670.785705566406,9.7,84.8,82.8024390243903,80.9,39.638,70.873,9.6,7.5,11.8,10.0,4.1,85.8,100.000001466914,100.000001466914,3.67980385891828,2.41256950102334,13.2131694048567,10.7260225370316,11.9769860249625,27.0153930234329,28.8458833261398,27.9252464589938,59.7714375717104,60.4280941368286,60.0977675160436,8882800.0
ITA,3.4,4.0931,5.8693,82.0,8.84025916457176,2840.13061523438,3619.69799804688,23.4858065843582,667.027587890625,850.115295410156,5.0,85.2,82.9463414634147,80.8,37.246,65.423,9.5,7.2,12.0,4.9,3.8,91.4,99.4427338843003,98.7724326744163,8.86526233243739,5.4816091504843,25.0790741820344,20.2929080924297,22.7516796025077,12.5856407558645,14.1145794322523,13.3291160906398,62.3352850621012,65.592512475318,63.9192043068525,60421760.0
JAM,1.7,1.3199,1.1397,65.0,5.98841682076454,307.196044921875,542.885803222656,17.2296956181526,52.9289360046387,93.5375671386719,11.3,75.993,74.368,72.787,104.39,175.464,14.7,13.4,16.0,11.2,8.7,80.0,90.6484361806871,87.3126001706103,2.15249763097333,1.93886183636797,9.00534723162312,8.58518250674293,8.79664255070196,23.1351022065791,24.3735475517907,23.7500966830639,67.8595505617978,67.0412699414664,67.4532607662342,2934855.0
JOR,1.4,2.3436,3.3886,76.0,8.11925083398819,340.661804199219,756.659240722656,30.4274260997772,103.654624938965,230.23193359375,12.7,76.175,74.405,72.73,89.001,123.898,19.2,15.6,22.8,10.7,10.9,78.4,98.9372226482137,97.3397541392762,0.671212255739265,0.533540227473842,4.13073075704802,3.56943944073548,3.84649039799834,34.1042508280946,34.3831373608823,34.2454902091433,61.7650184148574,62.0474231983822,61.9080193928583,9956011.0
JPN,13.4,2.4118,11.5184,83.0,10.9359331429005,4168.986328125,4563.45703125,12.8477171063423,535.619567871094,586.299987792969,5.6,87.32,84.2109756097561,81.25,35.709,66.483,8.4,5.7,11.2,12.7,4.8,82.4,99.0102083333333,99.8947075676591,10.5564415152335,6.16625352031787,30.4458755094721,24.5722967908763,27.576369910355,12.0773272381957,13.3454452892656,12.6968488090205,57.4767972523322,62.0822579198581,59.7267812806245,126529100.0
KAZ,6.7,3.2522,8.489,76.0,3.12536172568798,279.645324707031,820.35205078125,33.1494748592377,92.7009658813477,271.942413330078,6.1,77.19,73.15,68.84,94.435,220.812,26.8,18.5,36.8,4.5,9.5,86.0,95.6275072212889,97.8737016782929,2.07007614733361,0.916332598213873,9.25806102256444,5.40948855724081,7.39184627103032,26.8297009570924,30.1928872407803,28.4605497778393,63.9122380203431,64.3976242019789,64.1476039511304,18272430.0
KEN,1.4,0.1988,1.5421,55.0,4.80254329741001,76.6103210449219,158.155654907227,24.0433126688004,18.4196605682373,38.0258560180664,3.1,68.684,66.342,63.965,194.507,264.72,13.4,13.0,13.9,63.3,9.6,27.1,58.9163333889547,29.0511150631439,0.347275825509531,0.192552058492965,2.69850807635466,1.97525843512818,2.33918661191556,39.2117839198079,40.359860787282,39.7821669340692,58.0897080038375,57.6648807775898,57.8786464540153,51393010.0
KGZ,4.5,1.876,6.4299,70.0,6.1858631670475,78.8228378295898,241.248641967773,56.3766300678253,44.4376602172852,136.007858276367,6.1,75.6,71.4,67.4,94.014,210.663,24.9,17.3,33.4,9.6,7.7,82.7,87.4559028992415,96.5070669553914,1.30099525917554,0.613608855615316,5.50598097390977,3.46183380491676,4.49472797559656,31.2638849643653,33.4601505326354,32.3504171141318,63.2301340617249,63.0780156624478,63.1548549102717,6322800.0
KOR,11.5,2.3661,6.9735,86.0,7.60386362671852,2283.07470703125,2980.15795898438,33.6690425872803,768.689453125,1003.39068603516,6.9,85.7,82.6268292682927,79.7,32.342,79.266,7.8,4.7,10.9,10.1,10.0,79.8,99.7876549986742,100.0,4.34970524775619,2.07437979992729,16.5464336522935,12.2976311068865,14.4185558323969,12.5992994566837,13.3461326842197,12.9733235784635,70.8542668910228,74.3562362088939,72.6081205891396,51606633.0
KWT,2.0,2.5789,6.9694,76.0,5.2913848310709,1529.07763671875,3796.71484375,12.6153096556664,192.897872924805,478.96728515625,12.2,76.467,75.398,74.672,41.12,69.179,17.4,14.7,19.1,14.8,12.8,72.4,100.0,100.0,0.257054011900513,0.208429791586201,2.51675801475585,2.57272652396043,2.55047238400198,25.433312635372,18.9753474696152,21.5388880509858,72.0499293498721,78.4519260064244,75.9106395650123,4137309.0
LAO,1.5,0.4997,0.9756,51.0,2.52808686345816,62.1246337890625,177.933731079102,46.1833655834198,28.6912479400635,82.1757888793945,6.4,69.417,67.61,65.838,156.747,205.59,27.0,24.9,29.3,31.4,8.9,59.6,82.0618968646825,74.4594104323402,0.683442955167632,0.454391231103814,4.58090802431827,3.5729969035061,4.0751499644481,32.1351583887368,33.0694210862238,32.6039186819471,63.2839335869449,63.3575820102701,63.3209313536048,7061507.0
LBN,2.9,2.271,2.6448,73.0,8.19554403424263,719.443481445313,1185.3271484375,33.2187473773956,238.990112304688,393.750823974609,11.2,80.821,78.875,77.076,53.338,76.205,17.9,15.2,20.3,3.6,5.8,90.6,92.6,98.4766391682531,1.77056973348772,1.19514163374769,7.6152272281996,6.3980701959834,7.00236813439294,25.2144580885778,26.965022592064,26.0958671652131,67.1703146832226,66.6369072119526,66.901764700394,6848925.0
LBY,3.7,2.1581,6.7416,64.0,6.05012737214565,312.577331542969,627.282470703125,36.6682827472687,114.616744995117,230.013717651367,10.2,75.788,72.724,69.895,99.334,179.566,20.1,15.9,24.4,8.0,20.1,71.9,98.5289473684209,100.0,0.897056923445151,0.623992592236906,4.82590965221267,3.96744520502063,4.39204025898401,27.8636846266666,28.7652522795055,28.3192377277793,67.3104057211208,67.2673025154738,67.2887220132367,6678567.0
LKA,3.6,0.958,2.1155,66.0,3.81142050027847,159.484741210938,503.563262939453,49.7577965259552,79.3560943603516,250.561965942383,10.7,80.121,76.812,73.415,56.065,151.16,17.4,13.2,22.1,7.5,9.7,82.8,89.4162924258355,95.7817263595986,1.91869749493084,1.29445870974455,11.5919898193522,9.26370489550252,10.4732197537841,23.0629761244448,25.4230988416127,24.1970010216799,65.345034056203,65.3131962628847,65.3297792245361,21670000.0
